formula,bandgap,formation_energy,n_sites,volume,density,volume_per_atm,n_elements,mean_electronegativity,electronegativity_diff,mean_atomicmass,mean_row,mean_group
AgNO3,1.7204000000000002,-0.649492202333333,5,66.94305711049056,4.213744210142286,13.388611422098112,3,2.8033333333333332,1.51,45.9581,3.0,14.0
AgPF6,3.2361,-2.364613824122023,8,132.9716839621351,3.1573492518168536,16.621460495266888,3,2.6999999999999997,2.05,52.61345506666667,3.3333333333333335,14.333333333333334
AgPS3,1.3228,-0.23250120628273602,10,222.4638175390565,3.508777853034416,22.24638175390565,3,2.2333333333333334,0.6500000000000001,56.96898733333333,3.6666666666666665,14.0
AgPd2Pb,0.6372,1.55034147841145,4,1013.4581068961829,0.8649713144906855,253.36452672404573,3,2.1533333333333333,0.40000000000000013,140.49606666666668,5.333333333333333,11.666666666666666
AgRhO2,0.621799999999999,-0.8739557429166651,4,53.33620447425032,7.558341000886282,13.33405111856258,3,2.5500000000000003,1.51,75.59103333333334,4.0,12.0
AgSnPd2,0.8147000000000001,1.524319605208333,4,873.7891804030232,0.8350653739589123,218.4472951007558,3,2.03,0.27000000000000024,110.9994,5.0,11.666666666666666
Al2CO,1.759599999999999,-1.354071785,4,42.913089228831566,3.1719847205185325,10.728272307207892,3,2.533333333333333,1.8299999999999998,18.3305462,2.3333333333333335,14.333333333333334
Al2CdS4,2.7262999999999993,-1.147233041607143,7,158.91384085527508,3.078721108196981,22.701977265039297,3,1.96,0.97,57.15251286666666,3.6666666666666665,13.666666666666666
Al2CdSe4,2.004699999999999,-1.075488398482142,7,182.21741497767087,4.394395095945839,26.03105928252441,3,1.95,0.9399999999999997,72.78417953333333,4.0,13.666666666666666
Al2CdTe4,1.6245,-0.582113531428575,7,231.64033150563444,4.85152904383382,33.09147592937635,3,1.8,0.49,88.99751286666667,4.333333333333333,13.666666666666666
Al2FeS4,0.6271000000000001,-1.060090002857141,7,130.9646003812356,3.0185358646725087,18.709228625890802,3,2.006666666666667,0.97,38.29717953333333,3.3333333333333335,12.333333333333334
Al2HgS4,2.0244,-1.106310683214292,7,159.27341271374962,3.991099706807575,22.753344673392803,3,2.0633333333333335,0.97,86.54551286666667,4.0,13.666666666666666
Al2HgSe4,1.4253999999999991,-0.825231304821429,7,183.2042565678022,5.16996715620287,26.17203665254317,3,2.0533333333333332,0.9399999999999997,102.17717953333333,4.333333333333333,13.666666666666666
Al2HgTe4,1.1108,-0.47700404821428505,7,230.80986890588417,5.5033802350069,32.97283841512631,3,1.9033333333333335,0.49,118.39051286666665,4.666666666666667,13.666666666666666
Al2O3,2.286,-3.183729795,5,59.72839322865999,2.8346766948744935,11.945678645731999,2,2.525,1.8299999999999998,21.4904693,2.5,14.5
Al2O3,1.4387,-2.643370957000001,10,129.25945435990985,2.61970290909868,12.925945435990986,2,2.525,1.8299999999999998,21.4904693,2.5,14.5
Al2O3,0.682299999999999,-2.62658644,10,124.70894473127127,2.715293352412221,12.470894473127128,2,2.525,1.8299999999999998,21.4904693,2.5,14.5
Al2OsPd,0.5728,2.224207353229168,4,732.5859102705417,0.7947282422478706,183.14647756763543,3,2.0033333333333334,0.5900000000000001,107.87717953333333,4.666666666666667,10.333333333333334
Al2PdPt,1.016299999999999,1.166605031250004,4,725.1328368941905,0.8140121911091055,181.28320922354763,3,2.03,0.6699999999999997,109.49517953333334,4.666666666666667,11.0
Al2S3,2.4329,-1.195626505687499,10,171.8594901585695,2.901711781810174,17.185949015856952,2,2.095,0.97,29.5232693,3.0,14.5
Al2S3,3.0435,-1.236956223687499,10,217.8118071913624,2.2895301858952064,21.781180719136238,2,2.095,0.97,29.5232693,3.0,14.5
Al2Se3,1.8004,-1.0088235364375011,10,252.55345149639967,3.8245867538452583,25.255345149639968,2,2.08,0.9399999999999997,52.9707693,3.5,14.5
Al2Se3,0.5859999999999991,0.8037999825625001,10,2844.1901584651005,0.33960900341216876,284.41901584651004,2,2.08,0.9399999999999997,52.9707693,3.5,14.5
Al2Se3,0.9578000000000001,-0.9286022904375001,10,274.903610991192,3.513640951271386,27.490361099119202,2,2.08,0.9399999999999997,52.9707693,3.5,14.5
Al2TcIr,0.5482,2.61089033333333,4,744.724461342839,0.7674307674867636,186.18111533570976,3,1.9033333333333333,0.5900000000000001,105.7328462,4.666666666666667,9.666666666666666
Al2TcPd,1.026799999999999,2.069802251083747,4,729.9024207911144,0.5878254164074906,182.4756051977786,3,1.9033333333333333,0.5900000000000001,77.1338462,4.333333333333333,10.0
Al2TcPt,0.8066,2.047585382499999,4,712.0715481430819,0.8093080420751453,178.01788703577049,3,1.9299999999999997,0.6699999999999997,106.68851286666666,4.666666666666667,10.0
Al2Te3,1.3221999999999992,-0.544076061000001,10,327.50698421221335,4.428987401883171,32.75069842122134,2,1.855,0.49,77.2907693,4.0,14.5
Al2Te3,0.682999999999999,-0.47936126450000205,10,334.4410615525471,4.337159738612833,33.444106155254715,2,1.855,0.49,77.2907693,4.0,14.5
Al2Te5,1.046099999999999,-0.40193999714285505,7,240.2763278172873,4.782126206017519,34.3251896881839,2,1.855,0.49,77.2907693,4.0,14.5
Al2Zn2S5,0.987599999999999,-0.9867581083085301,9,176.87670142118503,3.2398960377925965,19.652966824576115,3,1.9466666666666665,0.97,41.48517953333334,3.3333333333333335,13.666666666666666
Al2Zn2S5,1.1242,-0.9823543849751981,9,176.3574266792953,3.249435733457547,19.59526963103281,3,1.9466666666666665,0.97,41.48517953333334,3.3333333333333335,13.666666666666666
Al2ZnS4,3.0979,-1.189737413749999,7,145.8017041616912,2.8202876041311407,20.828814880241598,3,1.9466666666666665,0.97,41.48517953333334,3.3333333333333335,13.666666666666666
Al2ZnS4,1.394499999999999,-1.074967317321427,7,144.23165800183293,2.8509880882267042,20.604522571690417,3,1.9466666666666665,0.97,41.48517953333334,3.3333333333333335,13.666666666666666
Al2ZnS4,1.753899999999999,-1.130463663035713,7,150.5949533418004,2.7305213739475063,21.513564763114342,3,1.9466666666666665,0.97,41.48517953333334,3.3333333333333335,13.666666666666666
Al2ZnS4,1.5436,-1.046111127321427,7,151.33568943359566,2.717156411996553,21.61938420479938,3,1.9466666666666665,0.97,41.48517953333334,3.3333333333333335,13.666666666666666
