id,formula,bandgap,formation_energy,density,volume,n_elements,energy_per_volume,is_binary,is_ternary,bg_category
mp-1224389,Ge3PbSe4,0.8687,-0.510226378046874,5.834948521046444,210.86613229747505,3,-0.0024196696382095284,0,1,narrow
mp-1199965,Ge3Rh2S3,0.5642,-0.7269584343749991,6.004218071773253,575.1672736870413,3,-0.001263907853649111,0,1,narrow
mp-17708,Ge3Sb2O9,3.0481,-1.979739933928572,4.770451402938239,421.4895910907408,3,-0.004697007887680817,0,1,wide
mp-541156,Ge4PbO9,3.1907,-2.022314588690476,5.721991269880247,558.7173420272759,3,-0.0036195665259872124,0,1,wide
mp-680333,Ge4Se9,1.2221,-0.564213325853364,4.069741392228336,1634.0416289395937,2,-0.00034528699628020405,1,0,medium
mp-1245416,Ge6Bi3N11,1.617,0.069222726749998,6.837701555143779,591.0275795273861,3,0.0001171226676179,0,1,medium
mp-675004,Ge6Bi7O22,0.6668000000000001,-1.807667891428571,6.13965548891921,608.7243843462348,3,-0.002969599933753257,0,1,narrow
mp-1237991,Ge7(H2O11)2,0.7414000000000001,-1.082918028181817,2.934598481085483,489.1754838530592,3,-0.0022137618583254856,0,1,narrow
mp-1181404,Ge7H18O23,3.0702,-1.556479800468749,3.118428696112855,476.37240990899545,3,-0.003267359251065975,0,1,wide
mp-1181562,Ge7H18O23,2.4902,-1.5387557819270832,3.032518370909884,489.8678957222356,3,-0.0031411647821060454,0,1,medium
mp-1181734,Ge7H18O23,3.1755,-1.575673155885416,3.092334059620551,480.3922747204522,3,-0.003279971887146447,0,1,wide
mp-1181858,Ge7H18O23,2.9941,-1.5581276031770832,3.14140296424516,472.8885182845692,3,-0.0032949152769225234,0,1,wide
mp-627418,Ge7H18O23,2.946,-1.537093449427082,3.136826259389158,473.5784739910742,3,-0.0032456995700696745,0,1,wide
mp-627442,Ge7H18O23,2.6786,-1.554405403385416,3.033675954055571,489.68097304878967,3,-0.003174322648698343,0,1,wide
mp-1196708,Ge7N2O15,1.262,-1.537902145208334,3.255498867158437,792.126020262387,3,-0.00194148671533213,0,1,medium
mp-1246521,Ge7PbN10,2.6204,-0.100720842777775,5.463144812197419,520.2136767281431,3,-0.0001936143690247698,0,1,wide
mp-9548,GeAs,0.5112999999999991,-0.060294584583334,4.961487056833644,296.3205975021272,2,-0.00020347753443937072,1,0,narrow
mp-17524,GeAs2,0.719599999999999,-0.062423882499999,4.8882363369983794,604.6222314840644,2,-0.0001032444380134313,1,0,narrow
mp-1213444,GeAs2O9,0.7538,-1.061457066458333,3.002616811709094,810.6937942510666,3,-0.0013093193434876678,0,1,narrow
mp-29249,GeAsSe,1.4797,-0.328340144947918,4.6451289805219975,647.8148922124764,3,-0.0005068425392731261,0,1,medium
mp-23446,GeBi2O5,2.3222,-1.864736001875002,8.153105671810371,232.4267527874747,3,-0.008022897448384829,0,1,medium
mp-23553,GeBi2O5,2.380899999999999,-1.8393026121875,7.688239474325717,492.9606791672484,3,-0.003731134530434777,0,1,medium
mp-29644,GeBi4Te7,0.5721,-0.226525013333334,7.218122065746807,414.4977735549242,3,-0.0005465047770716617,0,1,narrow
mp-1184708,GeBr2,1.4259,-0.895290331666667,4.219616564684244,182.9497913073628,2,-0.0048936395350270955,1,0,medium
mp-2746678,GeBr2,2.8296,-0.5738714741666671,3.883332672068456,795.1705765088415,2,-0.0007216960626061171,1,0,wide
mp-541610,GeBr2,2.597,-0.927984858749999,3.641964924077439,847.869747237202,2,-0.0010944898809915715,1,0,wide
mp-567604,GeBr4,2.9329,-1.061006728000001,3.503015322656526,743.7665577943183,2,-0.0014265319096175505,1,0,wide
mp-571246,GeBr4,3.0038,-1.061983198249999,3.595383064417157,1449.317417227897,2,-0.0007327471440184922,1,0,wide
mp-1002164,GeC,1.658099999999999,0.438373328749999,5.760897100254253,24.39998353014027,2,0.01796613215777359,1,0,medium
mp-1184550,GeC,2.3757,0.443147713749999,5.783989013733091,48.60513878269381,2,0.00911730168555315,1,0,medium
mp-1245873,GeCN2,1.0446,0.169911910625,3.410060849000415,54.86211177380262,3,0.0030970720070993543,0,1,medium
mp-1246426,GeCN2,0.8840000000000001,0.13746889625,2.62373699012439,285.2163005019181,3,0.00048198120516984794,0,1,narrow
mp-989197,GeClF,2.5216000000000003,-1.361485064375002,4.087541163307168,103.26023964581329,3,-0.013184988423859461,0,1,wide
mp-1078667,GeH4,1.142199999999999,0.257843023,2.172416945180703,117.211802336028,2,0.002199804267669259,1,0,medium
mp-1540935,GeI2,2.0087,-0.594223698333331,4.789724657301655,339.52758680634486,2,-0.0017501485046405264,1,0,medium
mp-27922,GeI2,2.0217,-0.594992870555555,4.739246027910595,343.1439610400316,2,-0.0017339453352237268,1,0,medium
mp-567677,GeI2,1.964999999999999,-0.475433194999999,4.220594916285615,128.43715847462195,2,-0.0037016794878247045,1,0,medium
mp-23266,GeI4,1.9977,-0.586300152499999,4.142400755833911,1860.8356559137856,2,-0.0003150735803222178,1,0,medium
mp-1196527,GeN3F7,2.1079,-0.5265741195454541,2.152043967030805,764.3537339322495,3,-0.0006889141717624269,0,1,medium
mp-1188940,GeNCl3,1.1093,0.396610896749997,1.814789258143425,706.4037953461383,3,0.0005614506877835466,0,1,medium
mp-1072104,GeO2,1.371499999999999,-2.071283881666666,5.967763541697996,58.231802941946114,2,-0.03556963337940303,1,0,medium
